JobID|User|Account|Partition|QOS|Submit|Eligible|Start|End|Elapsed|Planned|State|ExitCode|ReqTRES|AllocTRES|ReqMem|ReqCPUS|ReqNodes|NodeList|Reason
5400001|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-18T09:00:00|2026-04-18T09:00:00|2026-04-18T09:00:30|2026-04-18T13:30:00|04:29:30|00:00:30|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx001|None
5400002|alice|labA|dgx-b200|dgx|2026-04-18T09:15:00|2026-04-18T09:15:00|2026-04-18T09:45:00|2026-04-18T18:45:00|09:00:00|00:30:00|COMPLETED|0:0|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx002|None
5400003|bob|labB|dgx-b200|dgx|2026-04-18T10:00:00|2026-04-18T10:00:00|2026-04-18T10:02:00|2026-04-18T12:02:00|02:00:00|00:02:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx003|None
5400004|carol|labC|dgx-b200|dgx|2026-04-18T11:00:00|2026-04-18T11:00:00|2026-04-18T11:10:00|2026-04-18T14:10:00|03:00:00|00:10:00|COMPLETED|0:0|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|515000M|56|1|dgx004|None
5400005|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-18T14:00:00|2026-04-18T14:00:00|2026-04-18T14:05:00|2026-04-18T18:05:00|04:00:00|00:05:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx005|None
5400006|alice|labA|dgx-b200|dgx|2026-04-19T09:00:00|2026-04-19T09:00:00|2026-04-19T09:30:00|2026-04-19T17:30:00|08:00:00|00:30:00|COMPLETED|0:0|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx006|None
5400007|bob|labB|dgx-b200|dgx|2026-04-19T10:00:00|2026-04-19T10:00:00|2026-04-19T11:00:00|2026-04-19T15:00:00|04:00:00|01:00:00|FAILED|1:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx007|None
5400008|carol|labC|dgx-b200|dgx|2026-04-19T11:30:00|2026-04-19T11:30:00|2026-04-19T12:00:00|2026-04-19T13:00:00|01:00:00|00:30:00|CANCELLED by 12345|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx008|None
5400009|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-19T14:00:00|2026-04-19T14:00:00|2026-04-19T14:15:00|2026-04-19T19:15:00|05:00:00|00:15:00|COMPLETED|0:0|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|billing=960,cpu=56,gres/gpu=2,mem=515000M,node=1|515000M|56|1|dgx009|None
5400010|alice|labA|dgx-b200|dgx|2026-04-20T08:00:00|2026-04-20T08:00:00|2026-04-20T09:30:00|2026-04-20T17:30:00|08:00:00|01:30:00|COMPLETED|0:0|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx010|None
5400011|jvadala|jcombar1-betty-testing|dgx-b200|dgx|2026-04-20T09:00:00|2026-04-20T09:00:00|2026-04-20T09:03:00|2026-04-20T12:03:00|03:00:00|00:03:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx011|None
5400012|bob|labB|dgx-b200|dgx|2026-04-20T10:30:00|2026-04-20T10:30:00|2026-04-20T11:00:00|2026-04-20T14:00:00|03:00:00|00:30:00|COMPLETED|0:0|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|billing=480,cpu=28,gres/gpu=1,mem=257500M,node=1|257500M|28|1|dgx012|None
5400013|carol|labC|dgx-b200|dgx|2026-04-21T09:00:00|2026-04-21T09:00:00|2026-04-21T10:30:00|2026-04-21T18:30:00|08:00:00|01:30:00|COMPLETED|0:0|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|billing=3840,cpu=224,gres/gpu=8,mem=2060000M,node=1|2060000M|224|1|dgx013|None
